Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target
0.2,0.1,0.3,0.05,0.15,0.1,0.1,9.4911,0.342,2640.9,Nb-Ta-V-Cr-Mo-Ti-W,474.90132334815047,0.15275252316519466
0.2,0.1,0.3,0.05,0.2,0.1,0.05,9.0426,0.3435,2600.95,Nb-Ta-V-Cr-Mo-Ti-W,452.4944392102529,0.18257418583505536
0.2,0.1,0.3,0.1,0.0,0.15,0.15,9.4944,0.336,2597.3,Nb-Ta-V-Cr-Ti-W,466.5271595175522,0.19578900207451216
0.2,0.1,0.3,0.1,0.1,0.1,0.1,9.3346,0.337,2605.1,Nb-Ta-V-Cr-Mo-Ti-W,524.7408173061041,0.15275252316519466
0.2,0.1,0.3,0.1,0.2,0.05,0.05,9.1748,0.338,2612.9,Nb-Ta-V-Cr-Mo-Ti-W,580.4463558099162,0.1957890020745122
0.2,0.1,0.3,0.15,0.1,0.05,0.1,9.4668,0.3315,2617.05,Nb-Ta-V-Cr-Mo-Ti-W,643.4110919005916,0.18257418583505536
0.2,0.1,0.3,0.15,0.15,0.05,0.05,9.0183,0.333,2577.1,Nb-Ta-V-Cr-Mo-Ti-W,611.9429784274969,0.19578900207451216
0.2,0.1,0.35,0.0,0.1,0.15,0.1,9.1504,0.3505,2593.3,Nb-Ta-V-Mo-Ti-W,323.7554799675672,0.19148542155126763
0.2,0.1,0.35,0.0,0.15,0.1,0.1,9.4391,0.35,2641.05,Nb-Ta-V-Mo-Ti-W,386.18612117900375,0.19148542155126763
0.2,0.1,0.35,0.05,0.1,0.1,0.1,9.2826,0.345,2605.25,Nb-Ta-V-Cr-Mo-Ti-W,442.592985601248,0.17795130420052185
0.2,0.1,0.35,0.1,0.1,0.05,0.1,9.4148,0.3395,2617.2,Nb-Ta-V-Cr-Mo-Ti-W,559.2960081745117,0.19148542155126763
0.2,0.15,0.15,0.05,0.15,0.25,0.05,9.1225,0.3375,2584.35,Nb-Ta-V-Cr-Mo-Ti-W,280.1286369057284,0.19148542155126763
0.2,0.15,0.15,0.05,0.2,0.2,0.05,9.4112,0.337,2632.1000000000004,Nb-Ta-V-Cr-Mo-Ti-W,343.39106598227323,0.17795130420052188
0.2,0.15,0.15,0.1,0.05,0.25,0.1,9.4145,0.331,2588.5,Nb-Ta-V-Cr-Mo-Ti-W,357.5876961372814,0.19148542155126763
0.2,0.15,0.15,0.1,0.15,0.2,0.05,9.2547,0.332,2596.3,Nb-Ta-V-Cr-Mo-Ti-W,416.7815028521442,0.16329931618554522
0.2,0.15,0.15,0.15,0.15,0.15,0.05,9.3869,0.3265,2608.25,Nb-Ta-V-Cr-Mo-Ti-W,556.7976220833642,0.1632993161855452
0.2,0.15,0.2,0.0,0.15,0.25,0.05,9.0705,0.3455,2584.5,Nb-Ta-V-Mo-Ti-W,205.1583998750388,0.18708286933869708
